2025-02-21 19:02:25 INFO - [clash]: INF [Config] initial compatible provider name=故障转移
2025-02-21 19:02:25 INFO - [clash]: INF [Config] initial compatible provider name=自动选择
2025-02-21 19:02:25 INFO - [clash]: INF [Config] initial compatible provider name=猫猫云
2025-02-21 19:02:25 INFO - [clash]: INF [API] listening addr=127.0.0.1:9090
2025-02-21 19:02:25 INFO - [clash]: INF inbound create success inbound=mixed addr=127.0.0.1:7890 network=tcp
2025-02-21 19:02:25 INFO - [clash]: INF inbound create success inbound=mixed addr=127.0.0.1:7890 network=udp
2025-02-21 19:02:26 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:7897 rAddr=update.pan.baidu.com:80 mode=rule rule=DomainKeyword(baidu) proxy=DIRECT
2025-02-21 19:02:26 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:7898 rAddr=update.pan.baidu.com:80 mode=rule rule=DomainKeyword(baidu) proxy=DIRECT
2025-02-21 19:02:26 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:7925 rAddr=watson.events.data.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=DIRECT
2025-02-21 19:02:27 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8039 rAddr=watson.events.data.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=DIRECT
2025-02-21 19:02:28 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8047 rAddr=assets.msn.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
2025-02-21 19:02:29 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8082 rAddr=watson.events.data.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=DIRECT
2025-02-21 19:02:31 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8091 rAddr=watson.events.data.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=DIRECT
2025-02-21 19:02:32 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8097 rAddr=inputsuggestions.msdxcdn.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=DIRECT
2025-02-21 19:02:32 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8096 rAddr=inputsuggestions.msdxcdn.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=DIRECT
2025-02-21 19:02:32 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8103 rAddr=sdk.talkingdata.com:80 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-02-21 19:02:32 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8108 rAddr=h5data.talkingdata.net:80 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-02-21 19:02:32 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8112 rAddr=h5data.talkingdata.net:80 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-02-21 19:02:32 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8115 rAddr=h5data.talkingdata.net:80 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-02-21 19:02:38 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8117 rAddr=pbh-files.pbh-btn.com:443 mode=rule rule=Match() proxy=猫猫云[1.0x 🇭🇰 香港 HK - 1]
2025-02-21 19:02:42 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8129 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:02:42 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8134 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:02:42 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8128 rAddr=bcr.pbh-btn.ghorg.ghostchu-services.top:443 mode=rule rule=Match() proxy=猫猫云[1.0x 🇭🇰 香港 HK - 1]
2025-02-21 19:02:42 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8137 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:02:42 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8142 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:02:42 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8144 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:02:43 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8146 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:02:43 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8148 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:02:43 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8150 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:02:43 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8152 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:02:43 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8154 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:02:43 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8156 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:02:48 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8161 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:02:48 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8163 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:02:53 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8165 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:02:53 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8167 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:02:58 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8172 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:02:58 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8174 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:03 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8176 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:03 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8178 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:08 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8180 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:08 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8482 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:13 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8488 rAddr=gfwsl.geforce.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
2025-02-21 19:03:13 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8493 rAddr=gfwsl.geforce.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
2025-02-21 19:03:13 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8498 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:13 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8500 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:13 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8502 rAddr=gfwsl.geforce.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
2025-02-21 19:03:13 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8504 rAddr=gfwsl.geforce.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
2025-02-21 19:03:14 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8506 rAddr=gfwsl.geforce.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
2025-02-21 19:03:18 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8512 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:18 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8514 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:23 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8516 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:23 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8518 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:28 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8521 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:28 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8523 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:33 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8528 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:33 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8530 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:38 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8532 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:38 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8534 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:40 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8537 rAddr=login.live.com:443 mode=rule rule=DomainSuffix(live.com) proxy=猫猫云[1.0x 🇭🇰 香港 HK - 1]
2025-02-21 19:03:43 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8545 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:43 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8547 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:48 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8549 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:48 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8551 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:53 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8553 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:53 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8555 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:58 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8557 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:03:58 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8559 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:03 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8882 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:03 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8884 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:08 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8886 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:08 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8888 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:13 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8895 rAddr=windows.msn.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
2025-02-21 19:04:13 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8899 rAddr=windows.msn.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
2025-02-21 19:04:13 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8906 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:14 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8908 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:14 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8902 rAddr=www.msn.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
2025-02-21 19:04:14 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8890 rAddr=assets.msn.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
2025-02-21 19:04:14 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8911 rAddr=api.msn.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
2025-02-21 19:04:14 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8922 rAddr=api.msn.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
2025-02-21 19:04:14 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8918 rAddr=srtb.msn.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
2025-02-21 19:04:14 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8925 rAddr=ts3.cn.mm.bing.net:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-02-21 19:04:15 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8930 rAddr=www.bing.com:443 mode=rule rule=DomainSuffix(bing.com) proxy=猫猫云[1.0x 🇭🇰 香港 HK - 1]
2025-02-21 19:04:15 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8912 rAddr=assets.msn.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
2025-02-21 19:04:19 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8936 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:19 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8938 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:24 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8940 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:24 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8942 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:29 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8944 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:29 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8946 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:34 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8948 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:34 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8950 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:39 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8952 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:39 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8954 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:44 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8956 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:44 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8958 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:49 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8963 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:49 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8965 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:54 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8967 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:54 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8969 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:59 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8971 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:04:59 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8973 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-02-21 19:05:04 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:8975 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
