2025-03-19 13:00:52 INFO - [clash]: INF [Config] initial compatible provider name=猫猫云
2025-03-19 13:00:52 INFO - [clash]: INF [Config] initial compatible provider name=故障转移
2025-03-19 13:00:52 INFO - [clash]: INF [Config] initial compatible provider name=自动选择
2025-03-19 13:00:52 INFO - [clash]: INF [API] listening addr=127.0.0.1:9090
2025-03-19 13:00:52 INFO - [clash]: INF inbound create success inbound=mixed addr=127.0.0.1:7890 network=tcp
2025-03-19 13:00:52 INFO - [clash]: INF inbound create success inbound=mixed addr=127.0.0.1:7890 network=udp
2025-03-19 13:00:52 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:1832 rAddr=update.pan.baidu.com:80 mode=rule rule=DomainKeyword(baidu) proxy=DIRECT
2025-03-19 13:00:52 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:1833 rAddr=update.pan.baidu.com:80 mode=rule rule=DomainKeyword(baidu) proxy=DIRECT
2025-03-19 13:00:53 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:1834 rAddr=assets.msn.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
2025-03-19 13:00:53 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:1914 rAddr=inputsuggestions.msdxcdn.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=DIRECT
2025-03-19 13:00:58 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2099 rAddr=sdk.talkingdata.com:80 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-03-19 13:00:58 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2104 rAddr=gitee.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-03-19 13:00:58 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2107 rAddr=gitee.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-03-19 13:00:58 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2106 rAddr=gitee.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-03-19 13:00:58 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2105 rAddr=gitee.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-03-19 13:00:58 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2108 rAddr=gitee.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-03-19 13:00:58 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2113 rAddr=h5data.talkingdata.net:80 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-03-19 13:00:58 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2122 rAddr=h5data.talkingdata.net:80 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-03-19 13:00:58 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2112 rAddr=h5data.talkingdata.net:80 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-03-19 13:01:07 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:3587 rAddr=pbh-files.pbh-btn.com:443 mode=rule rule=Match() proxy=猫猫云[1.0x 🇯🇵 日本 JP - 3]
2025-03-19 13:01:11 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:4043 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:11 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:4048 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:11 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:4051 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:11 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:4053 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:11 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:4055 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:11 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:4042 rAddr=bcr.pbh-btn.ghorg.ghostchu-services.top:443 mode=rule rule=Match() proxy=猫猫云[1.0x 🇯🇵 日本 JP - 3]
2025-03-19 13:01:12 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:4077 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:12 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:4079 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:12 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:4101 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:12 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:4107 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:12 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:4109 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:12 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:4111 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:12 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:4113 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:12 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:4115 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:17 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:4532 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:17 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:4534 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:17 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:4536 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:17 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:4542 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:17 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:4544 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:18 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:4538 rAddr=v20.events.data.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=DIRECT
2025-03-19 13:01:22 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:5740 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:22 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:5742 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:22 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:5744 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:27 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:6323 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:27 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:6325 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:27 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:6327 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-03-19 13:01:32 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:6671 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
