2025-04-09 10:22:05 INFO - [clash]: INF [Config] initial compatible provider name=负载均衡
2025-04-09 10:22:05 INFO - [clash]: INF [Config] initial compatible provider name=故障转移
2025-04-09 10:22:05 INFO - [clash]: INF [Config] initial compatible provider name=自动选择
2025-04-09 10:22:05 INFO - [clash]: INF [Config] initial compatible provider name=猫猫云
2025-04-09 10:22:05 INFO - [clash]: INF [API] listening addr=127.0.0.1:9090
2025-04-09 10:22:05 INFO - [clash]: INF inbound create success inbound=mixed addr=:7890 network=tcp
2025-04-09 10:22:05 INFO - [clash]: INF inbound create success inbound=mixed addr=:7890 network=udp
2025-04-09 10:22:05 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:1875 rAddr=update.pan.baidu.com:80 mode=rule rule=DomainSuffix(baidu.com) proxy=DIRECT
2025-04-09 10:22:06 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:1806 rAddr=v20.events.data.microsoft.com:443 mode=rule rule=Match() proxy=猫猫云[1.0x 🇭🇰 香港 HK - 1]
2025-04-09 10:22:06 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:1805 rAddr=inputsuggestions.msdxcdn.microsoft.com:443 mode=rule rule=Match() proxy=猫猫云[1.0x 🇭🇰 香港 HK - 1]
2025-04-09 10:22:06 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:1804 rAddr=assets.msn.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
2025-04-09 10:22:11 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2280 rAddr=sdk.talkingdata.com:80 mode=rule rule=DomainSuffix(talkingdata.com) proxy=REJECT
2025-04-09 10:22:11 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2280 rAddr=sdk.talkingdata.com:80 mode=rule rule=DomainSuffix(talkingdata.com) proxy=REJECT
2025-04-09 10:22:11 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2280 rAddr=sdk.talkingdata.com:80 mode=rule rule=DomainSuffix(talkingdata.com) proxy=REJECT
2025-04-09 10:22:11 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2287 rAddr=gitee.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-04-09 10:22:11 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2283 rAddr=gitee.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-04-09 10:22:11 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2284 rAddr=gitee.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-04-09 10:22:11 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2286 rAddr=gitee.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-04-09 10:22:11 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2285 rAddr=gitee.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-04-09 10:22:20 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2621 rAddr=pbh-files.pbh-btn.com:443 mode=rule rule=Match() proxy=猫猫云[1.0x 🇭🇰 香港 HK - 1]
2025-04-09 10:22:24 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2766 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-04-09 10:22:24 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2802 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-04-09 10:22:24 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2805 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-04-09 10:22:24 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2807 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-04-09 10:22:24 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2809 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-04-09 10:22:24 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2840 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-04-09 10:22:24 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2842 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-04-09 10:22:24 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2844 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-04-09 10:22:24 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2846 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-04-09 10:22:25 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2848 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-04-09 10:22:25 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2850 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-04-09 10:22:25 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2862 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-04-09 10:22:25 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2863 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-04-09 10:22:25 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2866 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-04-09 10:22:25 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2868 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-04-09 10:22:25 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2760 rAddr=bcr.pbh-btn.ghorg.ghostchu-services.top:443 mode=rule rule=Match() proxy=猫猫云[1.0x 🇭🇰 香港 HK - 1]
2025-04-09 10:22:30 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2968 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-04-09 10:22:30 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2970 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
2025-04-09 10:22:30 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2972 rAddr=127.0.0.1:8081 mode=rule rule=IPCIDR(127.0.0.0/8) proxy=DIRECT
